site_id,naip_dates
US-xSR,"[2023-10-18, 2023-10-15, 2021-12-11, 2021-11-28, 2021-10-30, 2019-06-16, 2019-06-15, 2017-06-18, 2017-06-11, 2017-06-10, 2015-09-26, 2015-07-02, 2015-05-30, 2013-06-08, 2013-06-07, 2010-06-14, 2007-06-25]"
US-Wkg,"[2023-10-16, 2022-01-02, 2021-11-28, 2019-06-15, 2017-06-18, 2017-06-10, 2015-06-21, 2013-06-08, 2010-06-04, 2007-06-25]"
