is_focus,site_full,site_id,site_name,site_name_2,site_name_long,plsp_number,is_neon,neon_id,neon_domain,(f)latitude,(f)longitude,phenocam1,(p1)latitude,(p1)longitude,phenocam2,(p2)latitude,(p2)longitude,coordinates
1,US-xSR_NEON_Santa_Rita_Experimental_Range,US-xSR,Santa_Rita_Experimental_Range_NEON,,Santa Rita Experimental Range NEON,,1,SRER,D14,31.9107,-110.8355,NEON.D14.SRER.DP1.00042,31.91068,-110.83549,NEON.D14.SRER.DP1.00033,31.91068,-110.83549,"[[31.95567100179964, -110.88840224227889], [31.95567100179964, -110.7825777577211], [31.86568899820036, -110.7825777577211], [31.86568899820036, -110.88840224227889], [31.95567100179964, -110.88840224227889]]"
1,US-Wkg_Walnut_Gulch_Kendall_Grasslands,US-Wkg,Walnut_Gulch_Kendall_Grasslands,,Walnut Gulch Kendall Grasslands,103,0,,D14,31.7365,-109.9419,kendall,31.73652,-109.94185,,,,"[[31.78149100179964, -109.99471251087404], [31.78149100179964, -109.88908748912597], [31.69150899820036, -109.88908748912597], [31.69150899820036, -109.99471251087404], [31.78149100179964, -109.99471251087404]]"
