method,k,inertia_or_bic,silhouette,davies_bouldin,calinski_harabasz
gmm,2,81695.5724159473,0.4906330108642578,1.3606480705259898,3221.707382563143
gmm,3,61925.12035479755,0.2658500373363495,1.5324499106474,3919.940191046388
gmm,4,55571.53036039357,0.23186159133911133,1.3487301021116045,4019.061183247348
gmm,5,53316.55584975041,0.18233565986156464,1.3654022057047732,4011.3196183951704
gmm,6,52057.71528910229,0.1499987244606018,1.3572663945194907,4014.4393696035413
gmm,7,51014.34961129529,0.13255488872528076,1.4205740627416834,3761.874402696782
gmm,8,49873.11170438901,0.1238577663898468,1.4078322365093638,3657.8729737985987
gmm,9,49284.45417577673,0.1300347000360489,1.3614580285627,3538.2652832553285
gmm,10,48742.21678147039,0.1016993373632431,1.481849687223441,3303.0260850297236
gmm,11,48301.11462151999,0.1089056134223938,1.4278541667687732,3253.1000758620203
gmm,12,48090.29636826781,0.09616677463054657,1.4337652402388883,3015.9762084457375
gmm,13,47769.84472411216,0.08756688237190247,1.556410444969394,2912.5900964761545
gmm,14,47551.7474591336,0.088164322078228,1.4775372177962214,2821.14035337255
gmm,15,47505.217934833825,0.09299065917730331,1.48264472541688,2776.576423791872
