OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGmn
1.000000000000000000e+00,6.759713363112699325e-01,3.072539230574443669e-01,1.581343606195875495e-01,3.638458831891924067e-02,-2.030182164833758129e-01,-1.390675935510983230e-01
6.759713363112699325e-01,1.000000000000000000e+00,7.440256636360728093e-01,5.377736968975468379e-01,3.469893806843531991e-01,-2.096164441820617258e-02,-8.889855555485595695e-02
3.072539230574443669e-01,7.440256636360728093e-01,1.000000000000000000e+00,9.329564258567822899e-01,8.049654718665384401e-01,4.374260962915506035e-01,2.534180116281327666e-01
1.581343606195875218e-01,5.377736968975467269e-01,9.329564258567821788e-01,1.000000000000000000e+00,9.342550069573314353e-01,6.230444391897006495e-01,4.204290110198295460e-01
3.638458831891923373e-02,3.469893806843532547e-01,8.049654718665384401e-01,9.342550069573314353e-01,1.000000000000000000e+00,7.859039578418627325e-01,5.668171972608765374e-01
-2.030182164833758129e-01,-2.096164441820617258e-02,4.374260962915506590e-01,6.230444391897006495e-01,7.859039578418627325e-01,1.000000000000000000e+00,7.901453867352317140e-01
-1.390675935510983230e-01,-8.889855555485595695e-02,2.534180116281328221e-01,4.204290110198296015e-01,5.668171972608766485e-01,7.901453867352316029e-01,1.000000000000000000e+00
