file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2017.nc,Moab_NEON,2017,295646,11108889,2.661%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2018.nc,Moab_NEON,2018,176988,11108889,1.593%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2019.nc,Moab_NEON,2019,759196,11108889,6.834%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2020.nc,Moab_NEON,2020,189586,11108889,1.707%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Moab_NEON/US-xMB_NEON_Moab_PLSP_2021.nc,Moab_NEON,2021,875744,11108889,7.883%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2017.nc,Onaqui_NEON,2017,3480843,11112222,31.324%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2018.nc,Onaqui_NEON,2018,374813,11112222,3.373%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2019.nc,Onaqui_NEON,2019,3905878,11112222,35.149%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2020.nc,Onaqui_NEON,2020,233264,11112222,2.099%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Onaqui_NEON/US-xNQ_NEON_Onaqui-Ault_PLSP_2021.nc,Onaqui_NEON,2021,1221954,11112222,10.996%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2017.nc,Reynolds_Creek_Wyoming_big_sagebrush,2017,6109380,11112222,54.979%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2018.nc,Reynolds_Creek_Wyoming_big_sagebrush,2018,4358011,11112222,39.218%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2019.nc,Reynolds_Creek_Wyoming_big_sagebrush,2019,4275505,11112222,38.476%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2020.nc,Reynolds_Creek_Wyoming_big_sagebrush,2020,4516230,11112222,40.642%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Reynolds_Creek_Wyoming_big_sagebrush/US-Rws_Reynolds_Creek_Wyoming_big_sagebrush_PLSP_2021.nc,Reynolds_Creek_Wyoming_big_sagebrush,2021,2644419,11112222,23.797%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2017.nc,San_Joaquin_Experimental_Range_NEON,2017,8831082,11112222,79.472%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2018.nc,San_Joaquin_Experimental_Range_NEON,2018,9737252,11112222,87.627%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2019.nc,San_Joaquin_Experimental_Range_NEON,2019,10712498,11112222,96.403%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/San_Joaquin_Experimental_Range_NEON/US-xSJ_NEON_San_Joaquin_Experimental_Range_PLSP_2020.nc,San_Joaquin_Experimental_Range_NEON,2020,7840336,11112222,70.556%
