row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
13,1727,421021.5,3814633.5,2022,163.0,212.0,229.0,237.0,247.0,270.0,297.0,1.0,2.0
13,1760,421120.5,3814633.5,2022,160.0,211.0,230.0,238.0,249.0,270.0,300.0,1.0,1.0
17,1794,421222.5,3814621.5,2022,157.0,188.0,230.0,239.0,251.0,274.0,301.0,1.0,1.0
5,1801,421243.5,3814657.5,2022,152.0,187.0,229.0,239.0,250.0,271.0,303.0,1.0,1.0
3,1848,421384.5,3814663.5,2022,133.0,178.0,227.0,237.0,248.0,271.0,305.0,1.0,1.0
3,1887,421501.5,3814663.5,2022,117.0,177.0,228.0,238.0,250.0,273.0,307.0,1.0,1.0
20,1902,421546.5,3814612.5,2022,141.0,175.0,226.0,237.0,249.0,274.0,318.0,1.0,1.0
16,1922,421606.5,3814624.5,2022,126.0,178.0,228.0,238.0,251.0,275.0,305.0,1.0,1.0
10,1959,421717.5,3814642.5,2022,126.0,184.0,229.0,239.0,251.0,274.0,314.0,1.0,1.0
13,1983,421789.5,3814633.5,2022,142.0,186.0,228.0,237.0,249.0,274.0,312.0,1.0,1.0
29,2017,421891.5,3814585.5,2022,136.0,183.0,227.0,237.0,248.0,271.0,304.0,1.0,1.0
0,2062,422026.5,3814672.5,2022,153.0,183.0,226.0,236.0,249.0,276.0,307.0,1.0,1.0
0,2085,422095.5,3814672.5,2022,151.0,203.0,230.0,240.0,255.0,280.0,309.0,1.0,1.0
15,2104,422152.5,3814627.5,2022,127.0,183.0,227.0,238.0,252.0,275.0,301.0,1.0,1.0
11,2138,422254.5,3814639.5,2022,149.0,185.0,226.0,236.0,247.0,270.0,302.0,1.0,1.0
15,2167,422341.5,3814627.5,2022,153.0,180.0,223.0,234.0,245.0,272.0,306.0,1.0,1.0
23,2193,422419.5,3814603.5,2022,124.0,183.0,225.0,236.0,248.0,272.0,306.0,1.0,2.0
4,2226,422518.5,3814660.5,2022,149.0,183.0,224.0,235.0,247.0,271.0,305.0,1.0,1.0
14,2271,422653.5,3814630.5,2022,153.0,181.0,222.0,234.0,247.0,273.0,312.0,1.0,2.0
18,2309,422767.5,3814618.5,2022,154.0,179.0,222.0,234.0,246.0,272.0,305.0,1.0,1.0
5,2329,422827.5,3814657.5,2022,157.0,183.0,220.0,232.0,245.0,273.0,311.0,1.0,1.0
10,2369,422947.5,3814642.5,2022,157.0,182.0,217.0,230.0,244.0,273.0,302.0,1.0,1.0
20,2383,422989.5,3814612.5,2022,155.0,181.0,218.0,231.0,244.0,272.0,313.0,1.0,1.0
19,2400,423040.5,3814615.5,2022,159.0,182.0,219.0,232.0,247.0,275.0,312.0,1.0,1.0
0,2452,423196.5,3814672.5,2022,146.0,177.0,215.0,229.0,243.0,274.0,309.0,1.0,1.0
7,2471,423253.5,3814651.5,2022,153.0,176.0,214.0,229.0,244.0,275.0,309.0,1.0,1.0
12,2504,423352.5,3814636.5,2022,139.0,175.0,213.0,230.0,246.0,274.0,308.0,1.0,1.0
10,2544,423472.5,3814642.5,2022,151.0,176.0,221.0,234.0,247.0,274.0,324.0,1.0,1.0
7,2557,423511.5,3814651.5,2022,146.0,177.0,222.0,234.0,248.0,275.0,312.0,1.0,1.0
19,2609,423667.5,3814615.5,2022,149.0,184.0,219.0,232.0,246.0,271.0,311.0,1.0,1.0
21,2614,423682.5,3814609.5,2022,158.0,185.0,220.0,233.0,246.0,274.0,308.0,1.0,1.0
23,2644,423772.5,3814603.5,2022,155.0,186.0,223.0,235.0,247.0,273.0,306.0,1.0,1.0
23,2684,423892.5,3814603.5,2022,145.0,179.0,216.0,230.0,244.0,272.0,318.0,1.0,1.0
27,2719,423997.5,3814591.5,2022,147.0,178.0,216.0,231.0,246.0,275.0,306.0,1.0,1.0
10,2730,424030.5,3814642.5,2022,148.0,178.0,218.0,232.0,247.0,275.0,305.0,1.0,1.0
9,2775,424165.5,3814645.5,2022,151.0,185.0,220.0,232.0,244.0,273.0,301.0,1.0,2.0
26,2813,424279.5,3814594.5,2022,159.0,182.0,220.0,231.0,243.0,274.0,310.0,1.0,1.0
9,2820,424300.5,3814645.5,2022,154.0,177.0,222.0,234.0,248.0,279.0,313.0,1.0,1.0
23,2863,424429.5,3814603.5,2022,159.0,181.0,226.0,238.0,255.0,280.0,326.0,1.0,2.0
33,23,415909.5,3814573.5,2022,141.0,182.0,229.0,239.0,250.0,271.0,311.0,1.0,1.0
59,35,415945.5,3814495.5,2022,144.0,181.0,229.0,239.0,250.0,269.0,303.0,1.0,1.0
30,69,416047.5,3814582.5,2022,155.0,212.0,230.0,240.0,250.0,269.0,309.0,1.0,1.0
54,116,416188.5,3814510.5,2022,149.0,208.0,230.0,240.0,251.0,270.0,307.0,1.0,1.0
50,135,416245.5,3814522.5,2022,152.0,211.0,231.0,241.0,251.0,273.0,316.0,1.0,1.0
37,169,416347.5,3814561.5,2022,147.0,186.0,229.0,240.0,251.0,271.0,312.0,1.0,1.0
42,206,416458.5,3814546.5,2022,149.0,183.0,230.0,240.0,251.0,272.0,310.0,1.0,1.0
46,234,416542.5,3814534.5,2022,153.0,210.0,230.0,239.0,250.0,270.0,301.0,1.0,1.0
55,257,416611.5,3814507.5,2022,146.0,210.0,230.0,239.0,250.0,270.0,310.0,1.0,1.0
32,289,416707.5,3814576.5,2022,145.0,213.0,231.0,239.0,249.0,269.0,307.0,1.0,1.0
59,308,416764.5,3814495.5,2022,151.0,214.0,230.0,238.0,248.0,266.0,297.0,1.0,1.0
