year,k,covariance_type,seed,bic,aic,log_likelihood,silhouette,converged,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2022,3,full,4025,-216676.65512312035,-218082.92280570406,11.738497894138408,0.14221621172160875,True,17,2736,3679,3
2022,4,full,4026,-221626.90515920424,-223504.30820752666,12.036874500726771,0.10876406813210517,True,61,482,3262,4
2022,5,full,4027,-223295.29861078298,-225643.83702484408,12.158920966303679,0.13238435592653414,True,22,505,2509,5
2022,6,full,4028,-224675.09815861366,-227494.77193841347,12.265461634344158,0.10317334502042977,True,20,334,2439,6
2022,7,full,4029,-225776.44673621407,-229067.2558817526,12.357041472262658,0.09254246913281328,True,31,204,2036,7
2022,8,full,4030,-225941.92632015058,-229703.8708314278,12.398338213594874,0.11881081051967343,True,16,259,1999,8
2022,9,full,4031,-226116.66462875987,-230349.7445057758,12.440132414881571,0.12581838875729837,True,20,210,1864,9
2022,10,full,4032,-226242.76509336368,-230946.98033611831,12.479313364287465,0.10589325649897718,True,36,172,1630,10
2022,11,full,4033,-227165.39860800433,-232340.74921649764,12.561291060417883,0.1150854683389993,True,26,178,1488,11
2022,12,full,4034,-226995.97709286556,-232642.4630670976,12.584593975236277,0.1002358644888931,True,24,172,1181,12
2022,13,full,4035,-226839.79775795803,-232957.41909792877,12.608608376205071,0.103295160707492,True,19,159,1269,13
2022,14,full,4036,-226923.45533675532,-233512.21204246476,12.645508921258584,0.1021817402726584,True,20,76,1255,14
2022,15,full,4037,-226511.18866000773,-233571.08073145588,12.65576406251106,0.08124176170659808,True,23,69,1173,15
2022,16,full,4038,-226285.9645469692,-233816.99198415605,12.676068771983454,0.09690782456672332,True,18,16,1038,16
2022,17,full,4039,-225471.8063955208,-233473.96919844634,12.664730775760066,0.08200976157396285,True,23,110,1123,17
2022,18,full,4040,-225740.2496135155,-234213.54778217975,12.711559627239403,0.07244951982756069,True,29,62,912,18
2022,19,full,4041,-225655.51101412674,-234599.9445485297,12.739412451565103,0.07764417904870863,True,33,61,852,19
2022,20,full,4042,-225095.9304874606,-234511.49938760226,12.741752599806698,0.07083413858061156,True,26,63,886,20
2022,3,diag,3025,222865.5829463811,222423.001239172,-11.943853494475178,0.22838032348361995,True,10,2581,3545,3
2022,4,diag,3026,213498.85903719955,212906.37062270998,-11.430279960386308,0.177535666870484,True,20,1718,2670,4
2022,5,diag,3027,207070.8975239131,206328.50240214303,-11.074602536113423,0.2069311862355773,True,12,876,2333,5
2022,6,diag,3028,196968.8684568184,196076.5666277678,-10.521521955070266,0.20367803349186692,True,13,570,2395,6
2022,7,diag,3029,191953.6914371081,190911.48290077702,-10.24175171398974,0.181379478984311,True,24,627,1942,7
2022,8,diag,3030,188782.49111193663,187590.37586832506,-10.061056085768593,0.17492861808815996,True,21,391,1862,8
2022,9,diag,3031,184927.95090887765,183585.9289579856,-9.843645441542316,0.1690040995160725,True,19,388,1774,9
2022,10,diag,3032,181124.78320362078,179632.85454544824,-9.628994978801217,0.15644136415107934,True,26,305,1332,10
2022,11,diag,3033,181113.19848260385,179471.3631171508,-9.61806163320174,0.17499823954967922,True,15,316,1462,11
2022,12,diag,3034,176845.6319957145,175053.88992298095,-9.378459591821457,0.15012767995740117,True,21,281,1128,12
2022,13,diag,3035,173691.26988588733,171749.6211058733,-9.198668660319862,0.13576898007963809,True,20,266,1075,13
2022,14,diag,3036,172298.44525511932,170206.8897678248,-9.113522983442122,0.13936910211726644,True,23,236,1068,14
2022,15,diag,3037,171120.15099505725,168878.6888004822,-9.039903761040307,0.1389636896065133,True,15,227,789,15
2022,16,diag,3038,169599.98725207854,167208.618350223,-8.94791630938228,0.14076797547637468,True,18,226,814,16
2022,17,diag,3039,167182.66352941497,164641.38792027894,-8.80772554912309,0.13298182835427563,True,22,216,775,17
2022,18,diag,3040,165882.9129163442,163191.7305999277,-8.72758062539908,0.14517993149638567,True,14,227,806,18
2022,19,diag,3041,165302.771650425,162461.682626728,-8.686099431911025,0.1356086549171978,True,18,202,800,19
2022,20,diag,3042,162687.11733575884,159696.1216047813,-8.535252611475462,0.1321727324110167,True,17,208,657,20
