row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
16,28,415924.5,3814624.5,2022,7,2,0.037055294892827426,4.152469705152651e-10,0.9574743969664893,1.774122265992842e-05,0.0002212324550662764,4.1114668285279696e-07,0.0017794895133057369,7.241867739644838e-07,1.0988670445554992e-07,0.0034505993142426965
11,48,415984.5,3814639.5,2022,9,2,0.04473768621316184,1.6831615711808747e-10,0.9528926305286367,3.904693305966351e-05,0.0005506787632870823,1.6921850619978514e-07,0.000680736425617437,3.030171991680773e-07,6.253451647674724e-09,0.0010987424787644846
10,81,416083.5,3814642.5,2022,9,2,0.09443923297030586,9.187046056564334e-10,0.8888976217219166,0.00016698034619683257,0.0011754885471680014,1.3230779538883378e-07,0.009508048851143357,1.7134291104232224e-07,2.2026051933393873e-09,0.005812320791252687
17,113,416179.5,3814621.5,2022,9,2,0.16719725203467012,3.8854878355963126e-10,0.8226076133564144,0.0001289975002730859,0.00025710624216497037,5.2469161806593675e-08,0.006723745302368567,5.1972785466700886e-08,3.238185843827838e-11,0.0030851807012317973
7,121,416203.5,3814651.5,2022,9,2,0.03528499793748266,5.73409123370445e-10,0.9503605497475341,0.00010610624452553122,0.004594431955339352,6.715575696184612e-08,0.006429605502341173,2.0831924633083084e-07,1.4167322940307926e-09,0.003224031147630758
22,153,416299.5,3814606.5,2022,9,2,0.028246259048208117,1.119613454192583e-09,0.9597279911231965,7.45901685097793e-05,0.0038811662132944113,6.01530413016086e-07,0.0058506046262054015,9.510044040725891e-07,1.0036348042772386e-08,0.0022178251298059456
10,181,416383.5,3814642.5,2022,0,8,7.214567534823428e-60,8.573030553286682e-05,1.8318538097943483e-54,0.00017211420731427473,2.6459985280238324e-23,0.14674130494432625,2.8521005295598505e-18,9.659193081547149e-10,0.8530008467377274,2.839179358919089e-09
29,226,416518.5,3814585.5,2022,0,8,1.1765041150412236e-60,2.6477823007762378e-05,4.1379979115747985e-61,8.330819792773094e-06,5.3208898906319705e-25,0.09475800924172292,7.059156732170348e-17,1.1075538849154548e-11,0.9052071820138374,9.056397426270438e-11
28,266,416638.5,3814588.5,2022,7,2,0.04839591781064817,5.487406118013897e-10,0.9348001663769094,0.00036372182474464666,0.009573978709804094,1.2179887947492987e-07,0.005251493395716642,1.9413029867181574e-07,6.498421938652513e-10,0.0016144047544161876
25,278,416674.5,3814597.5,2022,7,2,0.03693223889926114,8.55988343314778e-12,0.9617807954183027,1.570086253161054e-05,0.0002245739264232765,2.7619474867748585e-09,0.0004636742214654236,2.8680106767123513e-09,5.931262671450952e-11,0.0005830109741850975
9,308,416764.5,3814645.5,2022,7,2,0.041098886949639285,1.1882014164846653e-11,0.9576357277301528,1.0241249686704308e-05,0.00014952799573823424,3.55167172054822e-09,0.0004526575817615827,4.903942394883217e-09,7.68043927378995e-11,0.0006529499487191518
11,359,416917.5,3814639.5,2022,7,2,0.15992675012093757,4.151822211476584e-10,0.832283207641994,0.00012298734879768306,4.1794718879149256e-05,9.444089457446764e-07,0.0027379764124497207,3.0363292353514977e-08,2.002985586726404e-08,0.004886288539665768
12,376,416968.5,3814636.5,2022,7,2,0.02377708940831822,6.608231445332322e-09,0.9376589882823976,0.0013359923351244983,0.010479983026657449,2.1270547427848066e-05,0.021780131645372174,8.88851686715695e-07,5.263414792407137e-07,0.0049451229533056355
24,416,417088.5,3814600.5,2022,7,2,0.004933751344371085,2.3691826632120366e-12,0.9931243785820849,6.619078366823273e-05,0.0009856914348449694,2.7290612037890915e-08,0.00017611646478975996,8.491135188004639e-10,2.7370061398728633e-08,0.0007138158780841957
19,430,417130.5,3814615.5,2022,7,2,0.006496705055982112,4.161773499059988e-12,0.9908177582791992,0.00012529662464531068,0.0019482108956344194,2.5233180228396045e-08,0.0002787615266843013,1.8486893578463331e-09,5.6179669584672996e-08,0.00033318435215489974
14,460,417220.5,3814630.5,2022,7,2,0.002914703908111799,1.959290279629724e-12,0.9830131928037003,8.038792992643235e-05,0.012891904669060827,1.2471180948935336e-08,7.443733451201462e-05,1.0444074417889767e-08,2.8046811864138147e-07,0.001025069969355742
