component,explained_variance_ratio,cumulative_explained_variance
1,0.41058206792176294,0.41058206792176294
2,0.30091161687945694,0.7114936848012199
3,0.16476538901153928,0.8762590738127591
4,0.06545392570004462,0.9417129995128037
5,0.049839956572557326,0.9915529560853611
6,0.00716842147431971,0.9987213775596808
7,0.001278622440319214,1.0
8,6.714232121264997e-17,1.0
9,3.548789417099057e-17,1.0
10,5.974436624872637e-18,1.0
