row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
3,1690,420910.5,3814663.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
13,1727,421021.5,3814633.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
13,1760,421120.5,3814633.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
17,1794,421222.5,3814621.5,2022,0,3,4,3,3,4,3,7,1,5,9,9,10,1,0,8,2,2
5,1801,421243.5,3814657.5,2022,0,3,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
3,1848,421384.5,3814663.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,8,2,2
3,1887,421501.5,3814663.5,2022,1,2,2,0,0,1,4,2,7,6,8,6,8,7,6,15,11,0
20,1902,421546.5,3814612.5,2022,1,2,2,1,5,5,2,8,1,5,9,13,11,4,12,12,6,17
16,1922,421606.5,3814624.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,15,11,0
10,1959,421717.5,3814642.5,2022,1,2,2,0,0,1,4,2,7,6,8,13,11,4,6,12,11,0
13,1983,421789.5,3814633.5,2022,1,0,1,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
29,2017,421891.5,3814585.5,2022,0,3,4,1,5,1,2,0,1,5,9,11,13,1,0,8,2,2
0,2062,422026.5,3814672.5,2022,0,0,4,1,5,5,2,0,1,5,9,7,10,1,0,8,2,2
0,2085,422095.5,3814672.5,2022,0,0,1,4,4,2,5,9,4,9,0,9,12,3,9,10,3,15
15,2104,422152.5,3814627.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,15,11,0
11,2138,422254.5,3814639.5,2022,0,3,4,1,5,4,2,0,1,5,9,7,10,1,0,8,2,2
15,2167,422341.5,3814627.5,2022,2,1,0,1,5,5,6,6,6,0,2,7,10,1,0,6,17,3
23,2193,422419.5,3814603.5,2022,1,2,2,1,5,1,2,0,1,5,9,11,13,7,6,15,11,0
4,2226,422518.5,3814660.5,2022,0,3,4,1,5,5,2,0,1,5,9,7,10,1,0,8,2,2
14,2271,422653.5,3814630.5,2022,2,1,3,1,5,5,6,6,6,0,2,7,10,1,0,6,17,3
18,2309,422767.5,3814618.5,2022,2,3,0,1,5,5,2,6,1,0,9,7,10,1,0,4,17,3
5,2329,422827.5,3814657.5,2022,2,1,3,1,5,5,6,6,6,0,2,12,6,11,3,6,17,3
10,2369,422947.5,3814642.5,2022,2,1,0,2,1,0,1,4,6,0,2,12,6,11,3,4,15,6
20,2383,422989.5,3814612.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,0,6
19,2400,423040.5,3814615.5,2022,2,1,3,1,5,5,6,6,6,0,2,12,6,11,3,6,17,3
0,2452,423196.5,3814672.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,0,6
7,2471,423253.5,3814651.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,0,6
12,2504,423352.5,3814636.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,17,6
10,2544,423472.5,3814642.5,2022,2,1,3,5,6,5,6,6,3,11,2,2,1,0,4,6,17,3
7,2557,423511.5,3814651.5,2022,2,1,3,1,5,5,6,6,1,5,9,7,10,1,0,6,17,3
19,2609,423667.5,3814615.5,2022,2,1,3,1,5,5,6,6,6,0,2,12,6,11,3,6,17,3
21,2614,423682.5,3814609.5,2022,2,1,0,1,5,5,6,6,6,0,2,7,10,11,3,6,17,3
23,2644,423772.5,3814603.5,2022,2,3,4,1,5,5,2,0,1,5,11,7,10,1,0,4,17,3
23,2684,423892.5,3814603.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,13,0,12
27,2719,423997.5,3814591.5,2022,2,1,3,5,6,5,6,6,6,0,2,12,6,11,3,6,17,3
10,2730,424030.5,3814642.5,2022,2,1,3,1,5,5,6,6,6,0,2,7,10,11,3,6,17,3
9,2775,424165.5,3814645.5,2022,2,1,0,2,1,5,1,6,6,0,2,7,10,11,3,4,15,14
26,2813,424279.5,3814594.5,2022,2,1,3,2,1,5,6,6,6,0,2,12,6,11,3,13,0,6
9,2820,424300.5,3814645.5,2022,2,1,3,1,5,5,6,6,1,5,2,7,10,0,4,6,17,3
23,2863,424429.5,3814603.5,2022,1,0,1,4,4,2,5,8,4,9,3,13,11,4,12,7,6,17
33,23,415909.5,3814573.5,2022,1,0,1,1,5,1,2,0,1,5,9,13,11,1,0,8,2,2
59,35,415945.5,3814495.5,2022,0,3,4,1,5,4,2,0,1,5,9,11,13,1,0,8,2,2
30,69,416047.5,3814582.5,2022,0,0,4,3,3,4,3,9,10,10,0,9,7,3,9,11,4,16
54,116,416188.5,3814510.5,2022,0,0,4,3,3,4,5,9,4,10,0,9,7,3,9,11,4,1
50,135,416245.5,3814522.5,2022,0,0,1,4,4,2,5,9,4,10,0,9,7,9,1,11,14,16
37,169,416347.5,3814561.5,2022,0,0,1,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
42,206,416458.5,3814546.5,2022,0,0,4,1,5,2,2,0,1,5,9,13,11,1,0,8,2,2
46,234,416542.5,3814534.5,2022,0,3,4,3,3,4,3,7,10,2,6,9,7,3,9,10,4,1
55,257,416611.5,3814507.5,2022,0,0,4,3,3,2,5,9,4,10,0,9,7,12,7,11,14,16
32,289,416707.5,3814576.5,2022,0,0,4,3,3,4,3,9,10,10,11,9,7,3,9,11,14,16
59,308,416764.5,3814495.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
51,332,416836.5,3814519.5,2022,0,3,4,3,3,4,3,7,10,2,6,5,2,5,11,2,10,5
