site_full,site_id,site_name,phenocam,plsp_number
US-ARM_ARM_Southern_Great_Plains_site,US-ARM,ARM_Southern_Great_Plains_site,southerngreatplains,
US-Mpj_Mountainair_Pinyon-Juniper_Woodland,US-Mpj,Mountainair_Pinyon-Juniper_Woodland,usmpj,
US-xKZ_NEON_Konza_Prairie_Biological_Station,US-xKZ,NEON_Konza_Prairie_Biological_Station,konza
US-SRG_Santa_Rita_Grassland,US-SRG,Santa_Rita_Grassland,srg,
US-SRM_Santa_Rita_Mesquite,US-SRM,Santa_Rita_Mesquite,srm,
US-Ses_Sevilleta_shrubland,US-Ses,Sevilleta_shrubland,sevilletashrub,
US-Wkg_Walnut_Gulch_Kendall_Grasslands,US-Wkg,Walnut_Gulch_Kendall_Grasslands,kendall,103
US-Whs_Walnut_Gulch_Lucky_Hills_Shrub,US-Whs,Walnut_Gulch_Lucky_Hills_Shrub,luckyhills,
US-Wjs_Willard_Juniper_Savannah,US-Wjs,Willard_Juniper_Savannah,junipersavannah,105
