is_focus,site_full,site_id,site_name,site_name_2,plsp_number,(f)longitude,(f)latitude,phenocam,(p)longitude,(p)latitude,coordinates,(f)AmeriFlux FLUXNET DOI,(f)Site Start,(f)Site End,(p)site_url,(p)date_first,(p)date_last
0,US-ARM_ARM_Southern_Great_Plains_site,US-ARM,ARM_Southern_Great_Plains_site,ARM_Southern_Great_Plains_site-_Lamont,,-97.4888,36.6058,southerngreatplains,-97.4888,36.6058,"[[36.65079100179964, -97.54475189631403], [36.65079100179964, -97.43284810368597], [36.560808998200365, -97.43284810368597], [36.560808998200365, -97.54475189631403], [36.65079100179964, -97.54475189631403]]",https://doi.org/10.17190/AMF/1854366,2002.0,,https://phenocam.nau.edu/webcam/sites/southerngreatplains/,2012-05-16,2026-03-23
0,US-Mpj_Mountainair_Pinyon-Juniper_Woodland,US-Mpj,Mountainair_Pinyon-Juniper_Woodland,,,-106.2385,34.4382,usmpj,-106.25436,34.43845,"[[34.48339100179964, -106.29216088860319], [34.48339100179964, -106.18323911139682], [34.393408998200364, -106.18323911139682], [34.393408998200364, -106.29216088860319], [34.48339100179964, -106.29216088860319]]",https://doi.org/10.17190/AMF/1832161,2007.0,,https://phenocam.nau.edu/webcam/sites/usmpj/,2013-09-20,2026-03-23
0,US-xKZ_NEON_Konza_Prairie_Biological_Station,US-xKZ,NEON_Konza_Prairie_Biological_Station,Konza_Prairie_Biological_Station_NEON,,-96.5631,39.1008,konza,-96.5603,39.0824,"[[39.14576500179964, -96.62095333769791], [39.14576500179964, -96.50519666230208], [39.055782998200364, -96.50519666230208], [39.055782998200364, -96.62095333769791], [39.14576500179964, -96.62095333769791]]",https://doi.org/10.17190/AMF/1985445,2017.0,,https://phenocam.nau.edu/webcam/sites/konza/,2012-03-17,2019-12-18
0,US-SRG_Santa_Rita_Grassland,US-SRG,Santa_Rita_Grassland,,,-110.8277,31.7894,srg,-110.8276,31.7894,"[[31.83439100179964, -110.88054270878197], [31.83439100179964, -110.77485729121801], [31.74440899820036, -110.77485729121801], [31.74440899820036, -110.88054270878197], [31.83439100179964, -110.88054270878197]]",https://doi.org/10.17190/AMF/2204877,2008.0,,https://phenocam.nau.edu/webcam/sites/srg/,2019-09-04,2026-03-23
0,US-SRM_Santa_Rita_Mesquite,US-SRM,Santa_Rita_Mesquite,,,-110.8661,31.8214,srm,-110.8661,31.8214,"[[31.86639100179964, -110.9189610145994], [31.86639100179964, -110.8132389854006], [31.77640899820036, -110.8132389854006], [31.77640899820036, -110.9189610145994], [31.86639100179964, -110.9189610145994]]",https://doi.org/10.17190/AMF/2475756,2004.0,,https://phenocam.nau.edu/webcam/sites/srm/,2018-07-20,2026-03-23
0,US-Ses_Sevilleta_shrubland,US-Ses,Sevilleta_shrubland,,,-106.7448,34.335,sevilletashrub,-106.74447,34.33496,"[[34.379891001799635, -106.7985936023276], [34.379891001799635, -106.68980639767241], [34.28990899820036, -106.68980639767241], [34.28990899820036, -106.7985936023276], [34.379891001799635, -106.7985936023276]]",https://doi.org/10.17190/AMF/1984573,2007.0,,https://phenocam.nau.edu/webcam/sites/sevilletashrub/,2014-10-29,2026-03-23
1,US-Wkg_Walnut_Gulch_Kendall_Grasslands,US-Wkg,Walnut_Gulch_Kendall_Grasslands,,103,-109.9419,31.7365,kendall,-109.94185,31.73652,"[[31.78149100179964, -109.99471251087404], [31.78149100179964, -109.88908748912597], [31.69150899820036, -109.88908748912597], [31.69150899820036, -109.99471251087404], [31.78149100179964, -109.99471251087404]]",https://doi.org/10.17190/AMF/1984575,2004.0,,https://phenocam.nau.edu/webcam/sites/kendall/,2012-07-06,2026-03-23
0,US-Whs_Walnut_Gulch_Lucky_Hills_Shrub,US-Whs,Walnut_Gulch_Lucky_Hills_Shrub,,,-110.0522,31.7438,luckyhills,-110.05202,31.7439,"[[31.78879100179964, -110.10501667334074], [31.78879100179964, -109.99938332665926], [31.69880899820036, -109.99938332665926], [31.69880899820036, -110.10501667334074], [31.78879100179964, -110.10501667334074]]",https://doi.org/10.17190/AMF/1984574,2007.0,,https://phenocam.nau.edu/webcam/sites/luckyhills/,2013-04-30,2026-03-23
1,US-Wjs_Willard_Juniper_Savannah,US-Wjs,Willard_Juniper_Savannah,,105,-105.8617,34.4258,junipersavannah,-105.8615,34.4254,"[[34.47049100179964, -105.915952483422], [34.47049100179964, -105.80704751657801], [34.38050899820036, -105.80704751657801], [34.38050899820036, -105.915952483422], [34.47049100179964, -105.915952483422]]",https://doi.org/10.17190/AMF/1871146,2007.0,,https://phenocam.nau.edu/webcam/sites/junipersavannah/,2020-10-27,2026-03-23
