year,k,seed,inertia,silhouette,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2023,3,2068,67665.24454094919,0.3067341374921214,13,468,7561,3
2023,4,2069,53293.10380126234,0.29136349126618233,45,471,6141,4
2023,5,2070,43853.961315644956,0.28493693781096185,16,384,5035,5
2023,6,2071,39113.49218158307,0.2339818688134645,25,363,4036,6
2023,7,2072,35278.12334300076,0.2384989897516465,30,310,3074,7
2023,8,2073,32511.018699146385,0.23574981624961353,59,279,3080,8
2023,9,2074,30571.838282281176,0.2185183778772267,66,274,2405,9
2023,10,2075,28882.21725208809,0.2225099271233168,28,261,2205,10
2023,11,2076,27361.49308615139,0.217317772660834,91,258,2045,11
2023,12,2077,26095.90286058642,0.21322639652598874,60,209,1881,12
2023,13,2078,25003.04484697094,0.21028871854569767,36,208,1904,13
2023,14,2079,23886.16372214719,0.21007411579033436,113,215,1694,14
2023,15,2080,23110.544920497014,0.20821799437353125,52,215,1614,15
2023,16,2081,22333.07991838874,0.21080018694359437,89,180,1597,16
2023,17,2082,21622.62818179748,0.20747714349954635,66,95,1588,17
2023,18,2083,20929.290092236988,0.20909990145629923,70,95,1646,18
2023,19,2084,20241.67102091431,0.20957233518766236,78,95,1440,19
2023,20,2085,19676.44106699704,0.20316790956483552,39,95,1351,20
