row,col,x,y,year,kmeans_label,gmm_label,gmm_posterior_0,gmm_posterior_1,gmm_posterior_2,gmm_posterior_3,gmm_posterior_4,gmm_posterior_5,gmm_posterior_6,gmm_posterior_7,gmm_posterior_8,gmm_posterior_9
8,12,595267.5,3516691.5,2023,4,5,3.4610207877671026e-11,6.5357177049340755e-06,5.603481917178832e-19,1.3601009894014866e-10,1.156404600828453e-25,0.9635407887151106,2.0976198328301413e-07,0.03645246563458155,1.667691851546119e-42,1.121393864377655e-17
23,59,595408.5,3516646.5,2023,9,7,2.5043994372494705e-16,3.961925807631025e-06,7.726933937917526e-15,4.984371540677513e-22,3.241929740732733e-50,0.002803385993674698,9.653485302942235e-11,0.9971926519839756,8.161013340449576e-66,1.4714658663515962e-34
8,69,595438.5,3516691.5,2023,4,7,1.2380029370752908e-15,2.476971938158339e-06,2.902089676224141e-14,5.100992178150389e-17,1.9877976880697866e-50,0.2758810126704868,2.207905740201024e-11,0.7241165103354649,1.9707064703484476e-52,1.5419020196618033e-34
1,94,595513.5,3516712.5,2023,4,5,2.9939093961535e-10,0.0019413124670883155,8.420177563205703e-17,1.0268969973929231e-10,1.507305639124367e-33,0.8413224264774034,1.480306698499065e-07,0.15673611262275716,1.1590469201109003e-45,1.4480215504305936e-20
0,146,595669.5,3516715.5,2023,4,5,3.5696580456300664e-13,2.1382656689691276e-06,7.0709918470433065e-15,1.2003985149377262e-14,5.896146245589806e-40,0.8251547776281057,5.574442032800501e-10,0.1748430835484042,2.878396614460578e-43,3.315548461973034e-29
12,164,595723.5,3516679.5,2023,9,7,2.0615740521709533e-33,2.4404605267796946e-21,2.7283225069707626e-12,2.639329158066164e-37,1.9525983129261422e-101,0.019359476653357202,5.767708101101071e-25,0.9806405233439152,1.2092142815192311e-79,3.176042834237441e-76
3,207,595852.5,3516706.5,2023,4,7,2.808701839758251e-23,5.710782032564949e-12,1.2407218239494681e-14,1.2257157186524955e-24,2.4258902681360286e-70,0.14405801048860994,2.327615970434908e-16,0.855941989505667,4.7273604082399306e-63,4.995456146647195e-50
22,223,595900.5,3516649.5,2023,9,7,1.4945298614031134e-18,2.3713179578757535e-11,1.9783332742600542e-12,6.580821744905423e-23,5.80844592787958e-62,0.16304872862237588,2.279887599996716e-15,0.83695127135193,1.6846489826958163e-54,9.544673846156644e-46
4,255,595996.5,3516703.5,2023,4,7,5.514317213225088e-53,4.414602561390914e-19,9.288563173892665e-11,4.458181929580491e-53,1.1893725718604045e-169,4.703461990758093e-11,2.475114133741747e-30,0.9999999998600799,1.2898726733244685e-121,8.100101806783992e-108
15,286,596089.5,3516670.5,2023,9,7,4.682870464640718e-78,1.36698915108912e-52,2.297921789002958e-15,6.067812555083713e-79,4.625686128091862e-208,2.7837889784816612e-08,1.829200077626289e-52,0.9999999721621083,8.447362787298482e-156,5.256068169289729e-161
15,307,596152.5,3516670.5,2023,9,7,1.3546445114815093e-24,1.0090246579288792e-13,1.2423055322674455e-12,4.846898830095286e-29,5.273620663646161e-77,0.020596047301640757,7.585690229767709e-19,0.9794039526970161,1.9329523890387972e-66,3.6574591509129656e-58
8,340,596251.5,3516691.5,2023,9,7,1.1307261595998589e-17,7.27121823925778e-08,7.048374801560464e-11,1.8837761660883194e-20,5.380749642354194e-53,0.006107011615235039,7.706426281006014e-14,0.9938929156020225,2.9083538200964776e-50,1.730801374056213e-40
17,382,596377.5,3516664.5,2023,4,1,0.0030455246363910314,0.6419358765429085,3.9239398858093206e-23,0.0015314948624476445,8.387993532221002e-16,0.2895210264633213,0.0037078917686011775,0.06025811531866699,1.227486470269503e-55,7.040766188613164e-08
12,405,596446.5,3516679.5,2023,4,5,0.0006272904997255794,0.036434429131088665,3.522054735267007e-25,0.3053679575628086,3.6584872045890174e-15,0.6515763280915958,0.004994447539495509,0.0009994713634317153,2.4919213001565434e-56,7.581185010168488e-08
6,439,596548.5,3516697.5,2023,4,3,0.01761714802997637,0.009770050833497477,1.9056201584944934e-23,0.8373477064356428,1.010279142242802e-08,0.13222708344149356,0.0029014670031991276,5.534406771922148e-07,8.12675991534447e-34,0.00013598071272314258
