row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA
14,1722,600397.5,3516673.5,2022,196.0,213.0,228.0,237.0,245.0,259.0,296.0,1.0,1.0
13,1760,600511.5,3516676.5,2022,196.0,212.0,225.0,234.0,243.0,258.0,285.0,1.0,1.0
17,1794,600613.5,3516664.5,2022,198.0,215.0,230.0,239.0,247.0,261.0,296.0,1.0,1.0
4,1828,600715.5,3516703.5,2022,197.0,213.0,226.0,234.0,243.0,260.0,294.0,1.0,1.0
3,1848,600775.5,3516706.5,2022,191.0,209.0,225.0,235.0,244.0,259.0,300.0,1.0,1.0
4,1867,600832.5,3516703.5,2022,191.0,206.0,220.0,230.0,242.0,262.0,332.0,1.0,1.0
20,1916,600979.5,3516655.5,2022,192.0,205.0,218.0,226.0,237.0,260.0,297.0,1.0,1.0
16,1938,601045.5,3516667.5,2022,194.0,215.0,230.0,240.0,249.0,264.0,312.0,1.0,1.0
8,1968,601135.5,3516691.5,2022,194.0,214.0,230.0,238.0,247.0,261.0,297.0,1.0,1.0
10,1980,601171.5,3516685.5,2022,195.0,213.0,230.0,239.0,247.0,261.0,290.0,1.0,1.0
29,2019,601288.5,3516628.5,2022,193.0,206.0,219.0,229.0,243.0,262.0,310.0,1.0,1.0
0,2062,601417.5,3516715.5,2022,198.0,213.0,228.0,238.0,246.0,260.0,287.0,1.0,1.0
0,2085,601486.5,3516715.5,2022,197.0,212.0,227.0,237.0,245.0,259.0,287.0,1.0,1.0
15,2105,601546.5,3516670.5,2022,194.0,208.0,223.0,235.0,246.0,263.0,305.0,1.0,1.0
8,2145,601666.5,3516691.5,2022,193.0,209.0,228.0,240.0,249.0,264.0,304.0,1.0,1.0
3,2168,601735.5,3516706.5,2022,191.0,207.0,222.0,237.0,248.0,266.0,301.0,1.0,1.0
24,2213,601870.5,3516643.5,2022,191.0,210.0,226.0,237.0,246.0,261.0,300.0,1.0,1.0
20,2233,601930.5,3516655.5,2022,192.0,211.0,229.0,239.0,249.0,265.0,302.0,1.0,1.0
0,2253,601990.5,3516715.5,2022,194.0,212.0,228.0,237.0,245.0,258.0,284.0,1.0,1.0
5,2281,602074.5,3516700.5,2022,195.0,213.0,230.0,239.0,248.0,263.0,314.0,1.0,1.0
3,2326,602209.5,3516706.5,2022,194.0,209.0,225.0,236.0,246.0,262.0,297.0,1.0,1.0
10,2355,602296.5,3516685.5,2022,196.0,216.0,232.0,241.0,250.0,266.0,303.0,1.0,1.0
18,2394,602413.5,3516661.5,2022,195.0,210.0,227.0,238.0,248.0,265.0,310.0,1.0,1.0
2,2415,602476.5,3516709.5,2022,189.0,209.0,232.0,244.0,254.0,278.0,323.0,1.0,1.0
