row,col,x,y,year,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,NumCycles,QA,DurGU,DurGD,LOS
16,28,595315.5,3516667.5,2022,0.8717918741326215,1.5940084821198204,1.5092538228627486,1.896297900380353,2.446517171518719,1.854811498395274,0.8133876330157197,1.0,1.0,-0.15398983522551027,0.21822075171081506,0.2843893906958412
11,48,595375.5,3516682.5,2022,1.087540476236091,2.032962697076596,2.186794947583555,2.3618410668504173,2.676248443270692,1.7427295499309177,0.8706873672072509,1.0,1.0,-0.04391184952521374,0.21822075171081506,0.2378731043403545
10,81,595474.5,3516685.5,2022,0.8717918741326215,1.8134855895982083,1.9609479060099528,2.1290694836153854,2.676248443270692,1.9668934468596302,0.7560878988241886,1.0,1.0,0.06616613617508278,0.09513520080092672,0.2378731043403545
17,113,595570.5,3516664.5,2022,0.9796661751843563,1.8134855895982083,2.186794947583555,2.5946126500854496,2.676248443270692,1.854811498395274,0.9852868355903132,1.0,1.0,0.06616613617508278,0.34130630262070344,0.3774219634068145
7,121,595594.5,3516694.5,2022,1.1954147772878259,1.8134855895982083,1.9609479060099528,2.1290694836153854,2.676248443270692,1.9668934468596302,0.6987881646326574,1.0,1.0,-0.2640678209258068,0.03359242534598254,0.051807958918407795
22,153,595690.5,3516649.5,2022,1.087540476236091,2.252439804554984,2.638489030730759,3.060155816555514,3.595173530278584,2.415221240717055,0.7560878988241886,1.0,1.0,0.1762441218753793,-0.15103590101884998,0.14484053162938113
10,181,595774.5,3516685.5,2022,0.8717918741326215,2.032962697076596,2.412641989157157,2.8273842333204815,3.595173530278584,2.1910573437883425,0.584188696249595,1.0,1.0,0.28632210757567583,-0.3356642273836825,0.09832424527389447
29,226,595909.5,3516628.5,2022,1.3032890783395605,2.252439804554984,2.8643360723043614,3.525698983025578,4.973561160790422,2.7514670861101234,1.4436847091225624,1.0,1.0,0.06616613617508278,0.21822075171081506,0.6100033951842478
28,266,596029.5,3516631.5,2022,0.9796661751843563,1.5940084821198204,1.2834067812891463,1.4307547339102888,1.7573233562628,1.854811498395274,1.5009844433140938,1.0,1.0,-0.3741458066261033,1.1413623835349778,0.7960685406061946
25,278,596065.5,3516640.5,2022,1.1954147772878259,2.032962697076596,2.412641989157157,2.8273842333204815,3.595173530278584,2.3031392922526988,1.5009844433140938,1.0,1.0,-0.04391184952521374,0.6490201798954243,0.7030359678952212
9,308,596155.5,3516688.5,2022,1.1954147772878259,1.5940084821198204,1.9609479060099528,2.5946126500854496,3.135710986774638,2.3031392922526988,1.615583911697156,1.0,1.0,-0.2640678209258068,0.895191281715201,0.7960685406061946
11,359,596308.5,3516682.5,2022,1.1954147772878259,2.252439804554984,2.412641989157157,2.5946126500854496,2.905979715022665,2.1910573437883425,1.4436847091225624,1.0,1.0,-0.04391184952521374,0.7721057308053126,0.6565196815397345
12,376,596359.5,3516679.5,2022,1.3032890783395605,2.4719169120333713,2.638489030730759,2.8273842333204815,3.365442258526611,2.3031392922526988,1.0425865697818444,1.0,1.0,-0.04391184952521374,0.21822075171081506,0.2843893906958412
24,416,596479.5,3516643.5,2022,0.7639175730808868,1.155054267163045,1.0575597397155443,1.4307547339102888,2.216785899766746,1.7427295499309177,0.2976900252919393,1.0,1.0,-0.2640678209258068,-0.2741214519287383,-0.08774090014805222
19,430,596521.5,3516658.5,2022,0.656043272029152,0.9355771596846573,1.2834067812891463,1.663526317145321,2.905979715022665,1.9668934468596302,0.7560878988241886,1.0,1.0,-0.04391184952521374,0.03359242534598254,0.33090567705132784
14,460,596611.5,3516673.5,2022,0.8717918741326215,1.3745313746414327,1.7351008644363506,2.1290694836153854,2.676248443270692,1.6306476014665616,0.7560878988241886,1.0,1.0,-0.04391184952521374,0.09513520080092672,0.2378731043403545
28,495,596716.5,3516631.5,2022,1.087540476236091,1.5940084821198204,2.186794947583555,2.5946126500854496,2.905979715022665,1.9668934468596302,0.9852868355903132,1.0,1.0,-0.04391184952521374,0.27976352716575925,0.33090567705132784
11,531,596824.5,3516682.5,2022,0.7639175730808868,1.3745313746414327,1.7351008644363506,2.3618410668504173,2.905979715022665,1.854811498395274,0.12579082271734576,1.0,1.0,0.06616613617508278,-0.6433781046584034,-0.22728975921451225
6,564,596923.5,3516697.5,2022,0.656043272029152,1.3745313746414327,1.7351008644363506,1.896297900380353,2.216785899766746,1.6306476014665616,0.7560878988241886,1.0,1.0,0.1762441218753793,0.21822075171081506,0.33090567705132784
2,576,596959.5,3516709.5,2022,0.9796661751843563,1.3745313746414327,1.5092538228627486,1.896297900380353,2.216785899766746,1.5185656530022054,1.0425865697818444,1.0,1.0,-0.2640678209258068,0.525934628985536,0.42393824976230116
10,611,597064.5,3516685.5,2022,0.9796661751843563,1.3745313746414327,1.5092538228627486,1.663526317145321,1.7573233562628,0.9581559106804244,0.18309055690887693,1.0,1.0,-0.2640678209258068,-0.2741214519287383,-0.27380604556999893
0,642,597157.5,3516715.5,2022,0.656043272029152,1.8134855895982083,1.9609479060099528,1.896297900380353,1.987054628014773,1.0702378591447805,0.8133876330157197,1.0,1.0,0.28632210757567583,0.34130630262070344,0.3774219634068145
20,680,597271.5,3516655.5,2022,1.3032890783395605,2.032962697076596,2.412641989157157,2.8273842333204815,3.135710986774638,1.7427295499309177,0.7560878988241886,1.0,1.0,-0.15398983522551027,-0.027950350108961634,0.051807958918407795
