component,explained_variance_ratio,cumulative_explained_variance
1,0.43788585598172397,0.43788585598172397
2,0.3542080725621465,0.7920939285438704
3,0.14456482436192652,0.9366587529057969
4,0.04183819526018242,0.9784969481659793
5,0.014284514299141895,0.9927814624651212
6,0.00550101599026473,0.998282478455386
7,0.0017175215446139076,0.9999999999999999
8,2.1933103928312704e-18,0.9999999999999999
9,0.0,0.9999999999999999
10,0.0,0.9999999999999999
