row,col,x,y,year,kmeans_k3,kmeans_k4,kmeans_k5,kmeans_k6,kmeans_k7,kmeans_k8,kmeans_k9,kmeans_k10,kmeans_k11,kmeans_k12,kmeans_k13,kmeans_k14,kmeans_k15,kmeans_k16,kmeans_k17,kmeans_k18,kmeans_k19,kmeans_k20
16,28,595315.5,3516667.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
11,48,595375.5,3516682.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
10,81,595474.5,3516685.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
17,113,595570.5,3516664.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
7,121,595594.5,3516694.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
22,153,595690.5,3516649.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
10,181,595774.5,3516685.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
29,226,595909.5,3516628.5,2022,1,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
28,266,596029.5,3516631.5,2022,1,1,2,2,5,2,6,9,8,1,10,13,5,10,14,9,9,14
25,278,596065.5,3516640.5,2022,1,1,2,2,1,2,6,9,8,1,10,13,5,10,14,9,9,14
9,308,596155.5,3516688.5,2022,1,1,2,2,5,2,6,9,8,1,10,13,5,10,14,9,9,14
11,359,596308.5,3516682.5,2022,1,1,2,2,1,2,6,9,8,1,10,13,5,10,14,9,9,14
12,376,596359.5,3516679.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
24,416,596479.5,3516643.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
19,430,596521.5,3516658.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
14,460,596611.5,3516673.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
28,495,596716.5,3516631.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
11,531,596824.5,3516682.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
6,564,596923.5,3516697.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
2,576,596959.5,3516709.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
10,611,597064.5,3516685.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
0,642,597157.5,3516715.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
20,680,597271.5,3516655.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
8,694,597313.5,3516691.5,2022,0,1,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
2,731,597424.5,3516709.5,2022,1,1,2,2,1,2,6,9,8,1,10,13,5,10,14,9,9,14
26,778,597565.5,3516637.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
24,789,597598.5,3516643.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
17,835,597736.5,3516664.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
21,856,597799.5,3516652.5,2022,0,0,2,3,1,2,6,9,8,1,10,13,5,10,14,9,9,14
19,877,597862.5,3516658.5,2022,0,0,1,3,1,7,7,0,3,4,9,8,9,0,6,8,15,12
24,918,597985.5,3516643.5,2022,0,0,1,3,1,7,7,0,3,4,9,8,9,0,6,8,15,12
1,942,598057.5,3516712.5,2022,0,0,1,3,1,7,7,0,3,4,9,8,9,0,6,8,15,12
11,985,598186.5,3516682.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,11,17
9,990,598201.5,3516688.5,2022,0,0,1,3,6,7,7,0,3,4,9,8,9,0,6,11,15,12
29,1028,598315.5,3516628.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,11,17
5,1057,598402.5,3516700.5,2022,0,0,1,3,6,7,7,0,2,5,1,8,2,0,9,11,0,6
11,1105,598546.5,3516682.5,2022,0,0,1,0,6,7,7,0,2,5,1,8,2,6,9,11,10,6
6,1136,598639.5,3516697.5,2022,0,0,1,0,3,0,4,6,2,5,1,9,2,15,9,11,10,6
20,1160,598711.5,3516655.5,2022,0,0,1,0,6,3,2,7,10,0,5,3,12,13,13,10,10,6
28,1185,598786.5,3516631.5,2022,0,0,1,0,6,3,2,7,10,0,5,3,12,13,10,17,12,16
26,1203,598840.5,3516637.5,2022,0,0,1,0,6,7,7,0,3,0,5,3,12,8,2,11,11,6
6,1246,598969.5,3516697.5,2022,0,0,1,0,6,7,2,7,2,0,5,3,12,13,9,11,10,6
7,1278,599065.5,3516694.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,6,9,11,11,6
7,1293,599110.5,3516694.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,11,6
24,1334,599233.5,3516643.5,2022,0,0,1,0,3,0,4,6,2,5,1,1,13,6,9,11,10,6
7,1367,599332.5,3516694.5,2022,0,0,1,0,6,3,2,7,10,0,5,1,13,6,10,17,12,16
29,1408,599455.5,3516628.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,0,6,11,0,6
5,1432,599527.5,3516700.5,2022,0,0,1,0,6,7,7,0,3,0,5,1,9,8,2,11,11,6
25,1454,599593.5,3516640.5,2022,0,1,2,3,1,0,4,2,4,10,4,1,0,14,9,11,0,1
7,1493,599710.5,3516694.5,2022,0,0,1,0,6,7,7,0,3,4,9,1,13,6,2,11,0,1
20,1518,599785.5,3516655.5,2022,0,0,1,0,6,7,7,0,2,5,5,1,13,6,9,11,0,6
2,1533,599830.5,3516709.5,2022,0,0,1,0,6,7,2,7,2,0,5,1,13,6,9,11,0,1
14,1561,599914.5,3516673.5,2022,0,0,1,0,6,7,2,7,3,0,5,3,12,8,2,0,11,17
25,1602,600037.5,3516640.5,2022,0,0,1,0,6,3,2,7,10,0,5,3,12,13,13,10,11,17
15,1625,600106.5,3516670.5,2022,2,3,0,0,6,3,2,7,10,0,5,3,12,13,13,10,7,0
10,1653,600190.5,3516685.5,2022,0,0,1,0,6,7,2,7,10,0,5,3,12,8,2,0,11,17
3,1690,600301.5,3516706.5,2022,0,0,1,3,1,7,7,0,2,5,1,8,9,0,6,11,0,1
14,1722,600397.5,3516673.5,2022,0,0,1,0,6,7,7,0,3,0,5,3,12,8,2,0,11,17
13,1760,600511.5,3516676.5,2022,0,0,1,0,6,3,2,7,10,0,5,3,12,8,13,0,11,17
17,1794,600613.5,3516664.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,15,17
4,1828,600715.5,3516703.5,2022,0,0,1,0,6,7,2,7,10,0,5,3,12,8,2,0,11,17
3,1848,600775.5,3516706.5,2022,0,0,1,0,6,3,2,7,10,0,5,3,12,13,13,10,10,6
4,1867,600832.5,3516703.5,2022,2,3,3,4,2,1,8,3,9,11,2,7,11,9,0,14,5,13
20,1916,600979.5,3516655.5,2022,2,3,0,1,0,4,0,8,7,8,8,0,7,11,16,13,2,18
16,1938,601045.5,3516667.5,2022,0,0,1,3,1,7,7,0,3,4,9,8,9,0,6,8,15,12
8,1968,601135.5,3516691.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,11,17
10,1980,601171.5,3516685.5,2022,0,0,1,0,6,7,7,0,3,4,9,8,9,8,2,0,11,17
