year,k,covariance_type,seed,bic,aic,log_likelihood,silhouette,converged,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2022,3,full,4025,-321536.433489548,-323001.52204483823,12.890446510078055,0.10264740226698081,True,19,825,7270,3
2022,4,full,4026,-323795.5069721417,-325751.4373784429,13.005318773056556,0.11139099798932588,True,17,820,4310,4
2022,5,full,4027,-328280.330138923,-330727.1023962352,13.208908737094834,0.0845262043915101,True,15,540,4332,5
2022,6,full,4028,-329987.994381845,-332925.6084901681,13.301801996578767,0.08854031403990792,True,12,549,4397,6
2022,7,full,4029,-331514.0476035192,-334942.5035628533,13.387456296350978,0.06689075380992049,True,20,524,3702,7
2022,8,full,4030,-333049.8989341353,-336969.1967444803,13.473501145746186,0.0658247759458421,True,44,432,3300,8
2022,9,full,4031,-332743.7670152239,-337153.9066765799,13.486125106687656,0.05876972775610682,True,31,435,2906,9
2022,10,full,4032,-333601.8452001303,-338502.8267124972,13.545154125976453,0.036993971112665544,True,30,370,2840,10
2022,11,full,4033,-333177.72754983354,-338569.5509132114,13.55307521178298,0.04757611617001789,True,25,373,2227,11
2022,12,full,4034,-333946.6947542054,-339829.3599685943,13.608552294666545,0.07376944536171369,True,36,348,1841,12
2022,13,full,4035,-332633.80598550534,-339007.3130509051,13.581047235766308,0.04464186450537317,True,27,10,2524,13
2022,14,full,4036,-333070.53729902755,-339934.8862154383,13.623281497745468,0.07367727764824694,True,23,182,1706,14
2022,15,full,4037,-333286.0953539116,-340641.28612133325,13.656699861341409,0.06307017636963368,True,35,92,1709,15
2022,16,full,4038,-332789.49645023054,-340635.5290686632,13.66173186657618,0.049657922705125875,True,20,155,1556,16
2022,17,full,4039,-332043.76295219234,-340380.6374216359,13.656833443145564,0.0483534242458247,True,36,26,1393,17
2022,18,full,4040,-332312.55835123133,-341140.2746716859,13.692373830982378,0.03884289549025405,True,30,103,1474,18
2022,19,full,4041,-331891.25051182567,-341209.8086832912,13.70040691499088,0.03580564206104777,True,23,156,1221,19
2022,20,full,4042,-331627.957342612,-341437.3573650884,13.714738415381394,0.033481204348257514,True,29,4,1221,20
2022,3,diag,3025,280078.77995103615,279617.68609099556,-11.140532768295422,0.24705689719379162,True,10,3802,4489,3
2022,4,diag,3026,261680.90608055395,261063.63526791896,-10.399299875156208,0.24817473780549573,True,11,810,4016,4
2022,5,diag,3027,249870.87067521585,249097.42290998646,-9.920656206552394,0.2302055736181719,True,10,599,3536,5
2022,6,diag,3028,240675.01140162096,239745.38668379717,-9.546212798301864,0.1855584505285044,True,13,533,2898,6
2022,7,diag,3029,230399.9507599817,229314.14908956352,-9.128752753888852,0.21294070918851882,True,9,550,2536,7
2022,8,diag,3030,223206.3349915164,221964.35636850382,-8.834118158821102,0.19324764047645776,True,15,515,2326,8
2022,9,diag,3031,217094.2227411571,215696.06716555016,-8.582591962912554,0.1901822600740766,True,11,503,2001,9
2022,10,diag,3032,213566.16647077896,212011.83394257762,-8.434065447328509,0.18742457640162433,True,12,450,2012,10
2022,11,diag,3033,209792.5500253921,208082.04054459636,-8.275750978340097,0.17653235582548726,True,25,345,1816,11
2022,12,diag,3034,208007.41577030305,206140.72933691292,-8.19669680073792,0.1572669424989876,True,21,238,1627,12
2022,13,diag,3035,200476.64347699736,198453.78009101283,-7.8886232498012125,0.15789508122395568,True,33,359,1398,13
2022,14,diag,3036,197168.21279306477,194989.17245448584,-7.748850942860565,0.15278944327403088,True,45,348,1318,14
2022,15,diag,3037,194944.72244843186,192609.50515725854,-7.652324025719808,0.15452057285406004,True,19,329,1412,15
2022,16,diag,3038,193865.88913867692,191374.4948949092,-7.601422787584072,0.1585110345145898,True,17,204,1305,16
2022,17,diag,3039,190652.3680910252,188004.79689466307,-7.465433549691609,0.15463084111325467,True,16,209,1237,17
2022,18,diag,3040,186868.5093430602,184064.7611941037,-7.306710825657832,0.14777316161275134,True,45,300,953,18
2022,19,diag,3041,186822.92927947931,183863.0041779284,-7.29699474561258,0.14512233405084207,True,45,128,1010,19
2022,20,diag,3042,184765.1233392401,181649.0212850948,-7.20707195811124,0.13833976213353805,True,54,149,953,20
