year,k,covariance_type,seed,bic,aic,log_likelihood,silhouette,converged,n_iter,min_cluster_size,max_cluster_size,n_clusters_realized
2023,3,full,4026,-358342.4136379987,-359807.32936558715,14.37011606820343,0.26748949462683147,True,7,632,8473,3
2023,4,full,4027,-364424.88766718865,-366380.5873441215,14.637620176498903,0.2082331039603019,True,9,648,6827,4
2023,5,full,4028,-366359.39253525686,-368805.87616153405,14.739642390550308,0.14756822806757738,True,23,536,5378,5
2023,6,full,4029,-367385.1900610881,-370322.4576367097,14.80541201774155,0.14578887401216256,True,14,400,4595,6
2023,7,full,4030,-368211.608468526,-371639.6599934919,14.863227479194602,0.13587562721374186,True,10,365,3260,7
2023,8,full,4031,-369069.6914063651,-372988.52688067534,14.922306186893614,0.13075408743737307,True,12,265,3046,8
2023,9,full,4032,-369163.0145040363,-373572.6339276909,14.9508750469836,0.11361187079808802,True,14,264,2709,9
2023,10,full,4033,-369074.09424449236,-373974.49761749135,14.972173367010745,0.11291986147810254,True,14,252,3035,10
2023,11,full,4034,-369583.6545948855,-374974.8419172288,15.017347878290467,0.11468671465291885,True,16,265,2007,11
2023,12,full,4035,-369682.78942768206,-375564.76069936977,15.04614859568219,0.1009203483192156,True,16,194,2065,12
2023,13,full,4036,-369742.9011655601,-376115.6563865922,15.073392499265626,0.08049990204318014,True,23,143,2411,13
2023,14,full,4037,-369059.65363622434,-375923.19280660077,15.07098032420812,0.08206385262075329,True,17,130,1773,14
2023,15,full,4038,-369342.5997764102,-376696.922896131,15.10711413453008,0.07220647355144792,True,22,120,1868,15
2023,16,full,4039,-369149.098885389,-376994.20595445414,15.12424024393418,0.06846285515398892,True,22,109,1799,16
2023,17,full,4040,-368368.79305653844,-376704.68407494796,15.117955959265458,0.08539621126176312,True,16,130,1676,17
2023,18,full,4041,-368194.06099808955,-377020.7359658434,15.135830845202403,0.08049620140446141,True,24,130,1906,18
2023,19,full,4042,-367887.69564205885,-377205.1545591571,15.148454263111669,0.06228133674691165,True,22,102,1688,19
2023,20,full,4043,-367454.9666784042,-377263.2095448468,15.156036445577547,0.08047653306656952,True,17,117,1837,20
2023,3,diag,3026,263492.9891714268,263031.9497038609,-10.488628010207488,0.2977253313386352,True,12,1357,7536,3
2023,4,diag,3027,241050.48381316187,240433.28581625913,-9.585386013574528,0.19059023143623585,True,39,1176,5064,4
2023,5,diag,3028,222755.2657655237,221981.9092392841,-8.847598708979659,0.20369115903289192,True,18,765,3828,5
2023,6,diag,3029,212883.08422810584,211953.56917252942,-8.445845734162987,0.18511705860008854,True,21,454,3621,6
2023,7,diag,3030,202611.97760380543,201526.30401889214,-8.028177771439086,0.17727204570014893,True,24,457,2742,7
2023,8,diag,3031,194574.5519976983,193332.71988344815,-7.699621793802288,0.15211502978970148,True,22,426,2212,8
2023,9,diag,3032,188330.94072648356,186932.9500828966,-7.442629461537405,0.15776206102160104,True,19,409,2033,9
2023,10,diag,3033,185372.18572044652,183818.0365475227,-7.31668541241214,0.16232156335130227,True,21,409,1959,10
2023,11,diag,3034,177942.87543281264,176232.567730552,-7.012389999623075,0.13534847355865656,True,69,416,1699,11
2023,12,diag,3035,175532.99076642637,173666.52453482887,-6.908342955989343,0.14326249291330106,True,35,393,1593,12
2023,13,diag,3036,172629.40170546615,170606.77694453183,-6.7845997344822395,0.14253116451991435,True,38,238,1544,13
2023,14,diag,3037,168267.9898855941,166089.20659532293,-6.602697143354462,0.14057555092477222,True,33,365,1444,14
2023,15,diag,3038,166557.190960022,164222.249140414,-6.526539900279821,0.13059512152830677,True,70,236,1153,15
2023,16,diag,3039,163987.5896990332,161496.48935008835,-6.416121014525188,0.15403995841463525,True,55,213,1126,16
2023,17,diag,3040,160815.71831403492,158168.45943575323,-6.281674756074094,0.13817110504159572,True,59,326,1184,17
2023,18,diag,3041,158717.1226317766,155913.70522415807,-6.190046486242642,0.16125319528149815,True,32,224,954,18
2023,19,diag,3042,155331.50946128683,152371.93352433143,-6.0470730680735425,0.15144826628502714,True,55,225,1101,19
2023,20,diag,3043,154788.49158249254,151672.75711620032,-6.017504073892935,0.13915035587510222,True,62,217,836,20
