,OGI,50PCGI,OGMx,Peak,OGD,50PCGD,OGMn,DurGU,DurGD,LOS
OGI,1.0,0.516903670012172,0.28031473832712667,0.15792086133215205,0.0376899479283058,-0.24172880585105674,-0.2214349533740678,-0.8838026892246107,-0.24792896683196847,-0.6109705240464692
50PCGI,0.516903670012172,1.0,0.8667174953058437,0.69552787614829,0.5163920334944542,0.1360566423306463,-0.03341672661721906,-0.10502447898266129,-0.17422764096649074,-0.2500210261862718
OGMx,0.28031473832712667,0.8667174953058437,1.0,0.9294374876855633,0.7879221775914472,0.387321314821579,0.15012268021112757,0.20135952775788618,-0.04983744125223783,0.0009965185905771129
Peak,0.15792086133215205,0.69552787614829,0.9294374876855633,1.0,0.9379663985893842,0.54531058810228,0.2801467828631067,0.29186148762017494,0.049619548143822335,0.15932815387572227
OGD,0.0376899479283058,0.5163920334944542,0.7879221775914472,0.9379663985893842,1.0,0.6936754921424491,0.39160042619702323,0.34557386142273744,0.1527081268309472,0.3016514852193025
50PCGD,-0.24172880585105674,0.1360566423306463,0.387321314821579,0.54531058810228,0.6936754921424491,1.0,0.5414499829870283,0.4354475504847245,0.3957153918689466,0.5437879685638217
OGMn,-0.2214349533740678,-0.03341672661721906,0.15012268021112757,0.2801467828631067,0.39160042619702323,0.5414499829870283,1.0,0.29912837077713866,0.9691439801741019,0.9072908942523897
DurGU,-0.8838026892246107,-0.10502447898266129,0.20135952775788618,0.29186148762017494,0.34557386142273744,0.4354475504847245,0.29912837077713866,1.0,0.22870292586119698,0.6239372946809583
DurGD,-0.24792896683196847,-0.17422764096649074,-0.04983744125223783,0.049619548143822335,0.1527081268309472,0.3957153918689466,0.9691439801741019,0.22870292586119698,1.0,0.893666218978442
LOS,-0.6109705240464692,-0.2500210261862718,0.0009965185905771129,0.15932815387572227,0.3016514852193025,0.5437879685638217,0.9072908942523897,0.6239372946809583,0.893666218978442,1.0
