file,site,year,good_pixels,total_pixels,percent_good_pixels
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Lucky_Hills_Shrub/US-Whs_Walnut_Gulch_Lucky_Hills_Shrub_PLSP_2019.nc,Walnut_Gulch_Lucky_Hills_Shrub,2019,315444,11108889,2.840%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Lucky_Hills_Shrub/US-Whs_Walnut_Gulch_Lucky_Hills_Shrub_PLSP_2020.nc,Walnut_Gulch_Lucky_Hills_Shrub,2020,143005,11108889,1.287%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Walnut_Gulch_Lucky_Hills_Shrub/US-Whs_Walnut_Gulch_Lucky_Hills_Shrub_PLSP_2021.nc,Walnut_Gulch_Lucky_Hills_Shrub,2021,10526513,11108889,94.758%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2017.nc,Willard_Juniper_Savannah,2017,50975,11115556,0.459%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2018.nc,Willard_Juniper_Savannah,2018,1386850,11115556,12.477%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2019.nc,Willard_Juniper_Savannah,2019,16739,11115556,0.151%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2020.nc,Willard_Juniper_Savannah,2020,594687,11115556,5.350%
/projectnb/modislc/users/fache/data/planet/PLSP_production_nc/Willard_Juniper_Savannah/US-Wjs_Willard_Juniper_Savannah_PLSP_2021.nc,Willard_Juniper_Savannah,2021,8423097,11115556,75.778%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2022.nc,Walnut_Gulch_Kendall_Grasslands,2022,10967617,11115556,98.669%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2023.nc,Walnut_Gulch_Kendall_Grasslands,2023,2977415,11115556,26.786%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2024.nc,Walnut_Gulch_Kendall_Grasslands,2024,3997020,11115556,35.959%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Walnut_Gulch_Kendall_Grasslands/PLSP_2025.nc,Walnut_Gulch_Kendall_Grasslands,2025,2536466,11115556,22.819%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2022.nc,Willard_Juniper_Savannah,2022,5129997,11115556,46.152%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2023.nc,Willard_Juniper_Savannah,2023,178727,11115556,1.608%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2024.nc,Willard_Juniper_Savannah,2024,5189624,11115556,46.688%
/projectnb/modislc/users/fache/data/planet/PLSP_stage_nc/Willard_Juniper_Savannah/PLSP_2025.nc,Willard_Juniper_Savannah,2025,3327601,11115556,29.936%
