is_focus,site_full,site_id,site_name,site_name_2,site_name_long,plsp_number,is_neon,neon_id,neon_domain,(f)latitude,(f)longitude,phenocam1,(p1)latitude,(p1)longitude,phenocam2,(p2)latitude,(p2)longitude,coordinates
1,US-xSR_NEON_Santa_Rita_Experimental_Range,US-xSR,Santa_Rita_Experimental_Range_NEON,,Santa Rita Experimental Range NEON,-1,1,SRER,D14,31.9107,-110.8355,NEON.D14.SRER.DP1.00042,31.91068,-110.83549,NEON.D14.SRER.DP1.00033,31.91068,-110.83549,"[[31.95567100179964, -110.88840224227889], [31.95567100179964, -110.7825777577211], [31.86568899820036, -110.7825777577211], [31.86568899820036, -110.88840224227889], [31.95567100179964, -110.88840224227889]]"
1,US-Wkg_Walnut_Gulch_Kendall_Grasslands,US-Wkg,Walnut_Gulch_Kendall_Grasslands,,Walnut Gulch Kendall Grasslands,103,0,,D14,31.7365,-109.9419,kendall,31.73652,-109.94185,,,,"[[31.78149100179964, -109.99471251087404], [31.78149100179964, -109.88908748912597], [31.69150899820036, -109.88908748912597], [31.69150899820036, -109.99471251087404], [31.78149100179964, -109.99471251087404]]"
1,US-xNQ_NEON_Onaqui-Ault,US-xNQ,Onaqui_NEON,,Onaqui_NEON,-1,1,ONAQ,D15,40.1776,-112.4524,NEON.D15.ONAQ.DP1.00042,40.1776,-112.45245,NEON.D15.ONAQ.DP1.00033,40.1776,-112.45245,"[[40.22259000179964, -112.51123657331061], [40.22259000179964, -112.39366342668939], [40.13260799820036, -112.39366342668939], [40.13260799820036, -112.51123657331061], [40.22259000179964, -112.51123657331061]]"
1,US-Rws_Reynolds_Creek_Wyoming_big_sagebrush,US-Rws,Reynolds_Creek_Wyoming_big_sagebrush,,Reynolds Creek Wyoming big sagebrush,-1,0,,D15,43.1675,-116.7132,arsgreatbasinltar098,43.1675,-116.7132,,,,"[[43.212491001799634, -116.77478272942184], [43.212491001799634, -116.65161727057816], [43.12250899820036, -116.65161727057816], [43.12250899820036, -116.77478272942184], [43.212491001799634, -116.77478272942184]]"
1,US-xMB_NEON_Moab,US-xMB,Moab_NEON,,Moab NEON,-1,1,MOAB,D13,38.2483,-109.3883,NEON.D13.MOAB.DP1.00042,38.24833,-109.38827,NEON.D13.MOAB.DP1.00033,38.24833,-109.38827,"[[38.29327400179964, -109.44546311539256], [38.29327400179964, -109.33107688460746], [38.20329199820036, -109.33107688460746], [38.20329199820036, -109.44546311539256], [38.29327400179964, -109.44546311539256]]"
1,US-Wjs_Willard_Juniper_Savannah,US-Wjs,Willard_Juniper_Savannah,,Willard Juniper Savannah,105,0,,D13,34.4258,-105.8617,junipersavannah,34.4254,-105.8615,,,,"[[34.47049100179964, -105.915952483422], [34.47049100179964, -105.80704751657801], [34.38050899820036, -105.80704751657801], [34.38050899820036, -105.915952483422], [34.47049100179964, -105.915952483422]]"
